map_id,md5,map_path,lang_root
01_Die_Pirateninsel,c29c81b6b2985ce255895d622849f5ef,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign01\01_Die_Pirateninsel\currentusermap,GER/Campaign01/01_Die_Pirateninsel
01_Ein_neuer_Anfang,d27030d5a022170314e64f37bf076f2e,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign00\01_Ein_neuer_Anfang\currentusermap,GER/Campaign00/01_Ein_neuer_Anfang
02_Die_Lavainsel,c0ca5cddb4075c3925d8121a67adc1ca,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign01\02_Die_Lavainsel\currentusermap,GER/Campaign01/02_Die_Lavainsel
02_Spanien,e2c43f5aa7e29fc5c375dd316bb404a6,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign00\02_Spanien\currentusermap,GER/Campaign00/02_Spanien
03_Frankreich,07da828442cfefe50f1757c0f0d3dbdf,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign00\03_Frankreich\currentusermap,GER/Campaign00/03_Frankreich
03_Verlorene_Welt,ee0e51aaa29c5206c4eef1f0962064be,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign01\03_Verlorene_Welt\currentusermap,GER/Campaign01/03_Verlorene_Welt
04_Die_Händler,9c6711f75096815df6884bb9dfc65800,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign01\04_Die_Händler\currentusermap,GER/Campaign01/04_Die_Händler
04_Schweiz,209719236a7c4bd3f0f3e49db88b8690,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign00\04_Schweiz\currentusermap,GER/Campaign00/04_Schweiz
05_Die_Münzsammler,5544408230699a680b38a2a1cc1262ab,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign01\05_Die_Münzsammler\currentusermap,GER/Campaign01/05_Die_Münzsammler
05_Paris,b4e0a4a37daa0764006c390bdd95cd11,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign00\05_Paris\currentusermap,GER/Campaign00/05_Paris
06_Belgien,da41491c8dca8e2000183b7b2b02c1ae,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign00\06_Belgien\currentusermap,GER/Campaign00/06_Belgien
06_Die_Entscheidung,5563c5e3940d63ed5466029ed907254a,G:\Projects\Cultures_Saga_CN\GAME_5_MAP_USER\GER\Campaign01\06_Die_Entscheidung\currentusermap,GER/Campaign01/06_Die_Entscheidung
